Data,Total
jan/20,1097
fev/20,1145
mar/20,1167
abr/20,1165
mai/20,1181
jun/20,1222
jul/20,1218
ago/20,1255
set/20,1251
out/20,1277
nov/20,1287
dez/20,1257
jan/21,1230
fev/21,1269
mar/21,1326
abr/21,1341
mai/21,1361
jun/21,1352
jul/21,1305
ago/21,1326
set/21,1225
out/21,1156
nov/21,1270
dez/21,1360
jan/22,1410
fev/22,1476
mar/22,1522
abr/22,1506
mai/22,1516
jun/22,1536
jul/22,1520
ago/22,1518
set/22,1527
out/22,1562
nov/22,1601
dez/22,1634
jan/23,1694
fev/23,1735
mar/23,1838
abr/23,1967
mai/23,2012
jun/23,2095
jul/23,2127
ago/23,2143
set/23,2177
out/23,2178
nov/23,2180
dez/23,1921
jan/24,1848
fev/24,1927
mar/24,1940
abr/24,1994
mai/24,1995
jun/24,1986
jul/24,1998
ago/24,2013
set/24,2013
out/24,1951
nov/24,1893
dez/24,1853
jan/25,1736
fev/25,1735
mar/25,1729
abr/25,1730
mai/25,1722
jun/25,1731
jul/25,1682
ago/25,1684
set/25,1719
out/25,1670
nov/25,1664
dez/25,1601
jan/26,1935
fev/26,1960
mar/26,1964
abr/26,2012
mai/26,2027
jun/26,2060
jul/26,2102
ago/26,2162
set/26,2193
out/26,2247
nov/26,2330
dez/26,2343
jan/27,2315
fev/27,2433
mar/27,2436
abr/27,2438
mai/27,2479
jun/27,2510
jul/27,2541
ago/27,2542
set/27,2530
out/27,2501
nov/27,2483
dez/27,2418
jan/28,2348
fev/28,2364
mar/28,2404
abr/28,2413
mai/28,2428
jun/28,2423
jul/28,2438
ago/28,2510
set/28,2549
out/28,2573
nov/28,2537
dez/28,2564
jan/29,2647
fev/29,2695
mar/29,2660
abr/29,2680
mai/29,2726
jun/29,2780
jul/29,2945
ago/29,2973
set/29,2915
out/29,2853
nov/29,2625
dez/29,2610
jan/30,2569
fev/30,2653
mar/30,2523
abr/30,2583
mai/30,2598
jun/30,2569
jul/30,2481
ago/30,2414
set/30,2374
out/30,2351
nov/30,2265
dez/30,2160
jan/31,2121
fev/31,2162
mar/31,2240
abr/31,2429
mai/31,2478
jun/31,2500
jul/31,2523
ago/31,2194
set/31,2146
out/31,2364
nov/31,2449
dez/31,2365
jan/32,2162
fev/32,2156
mar/32,2176
abr/32,2264
mai/32,2221
jun/32,2171
jul/32,2150
ago/32,2147
set/32,2184
out/32,2116
nov/32,2121
dez/32,1880
jan/33,2102
fev/33,2188
mar/33,2425
abr/33,2190
mai/33,2795
jun/33,2813
jul/33,2752
ago/33,2758
set/33,2611
out/33,2454
nov/33,2332
dez/33,2328
jan/34,2323
fev/34,2335
mar/34,2433
abr/34,2522
mai/34,2580
jun/34,2655
jul/34,2624
ago/34,2552
set/34,2525
out/34,2471
nov/34,2413
dez/34,2413
jan/35,2539
fev/35,2599
mar/35,2629
abr/35,2614
mai/35,2660
jun/35,2745
jul/35,2758
ago/35,2736
set/35,2804
out/35,2844
nov/35,2883
dez/35,2862
jan/36,2865
fev/36,2832
mar/36,2922
abr/36,3016
mai/36,3024
jun/36,3006
jul/36,2970
ago/36,3067
set/36,3032
out/36,3090
nov/36,3034
dez/36,3150
jan/37,3180
fev/37,3328
mar/37,3443
abr/37,3499
mai/37,3578
jun/37,3527
jul/37,3572
ago/37,3713
set/37,3666
out/37,3578
nov/37,3474
dez/37,3438
jan/38,3420
fev/38,3381
mar/38,3436
abr/38,3423
mai/38,3183
jun/38,3143
jul/38,3319
ago/38,3425
set/38,3289
out/38,3285
nov/38,3286
dez/38,3300
jan/39,3306
fev/39,3338
mar/39,3444
abr/39,3517
mai/39,3566
jun/39,3487
jul/39,3579
ago/39,2609
set/39,3606
out/39,3684
nov/39,3730
dez/39,3704
jan/40,3782
fev/40,3738
mar/40,3921
abr/40,3967
mai/40,3995
jun/40,3977
jul/40,4113
ago/40,4214
set/40,4347
out/40,4403
nov/40,4455
dez/40,4360
jan/41,3569
fev/41,3600
mar/41,3639
abr/41,3703
mai/41,3773
jun/41,3834
jul/41,3815
ago/41,3915
set/41,3982
out/41,4069
nov/41,4112
dez/41,4138
jan/42,4137
fev/42,4070
mar/42,3693
abr/42,3502
mai/42,3555
jun/42,3620
jul/42,3606
ago/42,3885
set/42,3860
out/42,3881
nov/42,3870
dez/42,3888
jan/43,3786
fev/43,3875
mar/43,3924
abr/43,3970
mai/43,3999
jun/43,4004
jul/43,4117
ago/43,4219
set/43,4352
out/43,4414
nov/43,4461
dez/43,4364
jan/44,4377
fev/44,4443
mar/44,4413
abr/44,4453
mai/44,4554
jun/44,4575
jul/44,4563
ago/44,4691
set/44,4766
out/44,4739
nov/44,4749
dez/44,4688
jan/45,4756
fev/45,4767
mar/45,4804
abr/45,4807
mai/45,4877
jun/45,4859
jul/45,4897
ago/45,4877
set/45,4423
out/45,4284
nov/45,4517
dez/45,4472
jan/46,4625
fev/46,4719
mar/46,4414
abr/46,4673
mai/46,4785
jun/46,4896
jul/46,4922
ago/46,4836
set/46,4790
out/46,4785
nov/46,4822
dez/46,4725
jan/47,4672
fev/47,4811
mar/47,4909
abr/47,4980
mai/47,5034
jun/47,5102
jul/47,5141
ago/47,5176
set/47,5256
out/47,5324
nov/47,5290
dez/47,5340
jan/48,5293
fev/48,5365
mar/48,5415
abr/48,5491
mai/48,5507
jun/48,5548
jul/48,5528
ago/48,5581
set/48,5441
out/48,5644
nov/48,5693
dez/48,5722
jan/49,5388
fev/49,5382
mar/49,5239
abr/49,5011
mai/49,4976
jun/49,4909
jul/49,4695
ago/49,4786
set/49,4943
out/49,5015
nov/49,5217
dez/49,5027
jan/50,4933
fev/50,4969
mar/50,4881
abr/50,4972
mai/50,5147
jun/50,5377
jul/50,5486
ago/50,5684
set/50,5890
out/50,5904
nov/50,5893
dez/50,5725
jan/51,5917
fev/51,5934
mar/51,6057
abr/51,6129
mai/51,6181
jun/51,6135
jul/51,6149
ago/51,6243
set/51,6267
out/51,6392
nov/51,6283
dez/51,6193
jan/52,6221
fev/52,6373
mar/52,6359
abr/52,6431
mai/52,5089
jun/52,6190
jul/52,6096
ago/52,6218
set/52,6520
out/52,6503
nov/52,6461
dez/52,6642
jan/53,6555
fev/53,6542
mar/53,6517
abr/53,6398
mai/53,6391
jun/53,6588
jul/53,6604
ago/53,6596
set/53,6552
out/53,6249
nov/53,6271
dez/53,6237
jan/54,6240
fev/54,6380
mar/54,6508
abr/54,6617
mai/54,6472
jun/54,6499
jul/54,6261
ago/54,6142
set/54,6144
out/54,6120
nov/54,6346
dez/54,6391
jan/55,6761
fev/55,6834
mar/55,6886
abr/55,6889
mai/55,6680
jun/55,6595
