Data,Total
jan-1920,1097
fev-1920,1145
mar-1920,1167
abr-1920,1165
mai-1920,1181
jun-1920,1222
jul-1920,1218
ago-1920,1255
set-1920,1251
out-1920,1277
nov-1920,1287
dez-1920,1257
jan-1921,1230
fev-1921,1269
mar-1921,1326
abr-1921,1341
mai-1921,1361
jun-1921,1352
jul-1921,1305
ago-1921,1326
set-1921,1225
out-1921,1156
nov-1921,1270
dez-1921,1360
jan-1922,1410
fev-1922,1476
mar-1922,1522
abr-1922,1506
mai-1922,1516
jun-1922,1536
jul-1922,1520
ago-1922,1518
set-1922,1527
out-1922,1562
nov-1922,1601
dez-1922,1634
jan-1923,1694
fev-1923,1735
mar-1923,1838
abr-1923,1967
mai-1923,2012
jun-1923,2095
jul-1923,2127
ago-1923,2143
set-1923,2177
out-1923,2178
nov-1923,2180
dez-1923,1921
jan-1924,1848
fev-1924,1927
mar-1924,1940
abr-1924,1994
mai-1924,1995
jun-1924,1986
jul-1924,1998
ago-1924,2013
set-1924,2013
out-1924,1951
nov-1924,1893
dez-1924,1853
jan-1925,1736
fev-1925,1735
mar-1925,1729
abr-1925,1730
mai-1925,1722
jun-1925,1731
jul-1925,1682
ago-1925,1684
set-1925,1719
out-1925,1670
nov-1925,1664
dez-1925,1601
jan-1926,1935
fev-1926,1960
mar-1926,1964
abr-1926,2012
mai-1926,2027
jun-1926,2060
jul-1926,2102
ago-1926,2162
set-1926,2193
out-1926,2247
nov-1926,2330
dez-1926,2343
jan-1927,2315
fev-1927,2433
mar-1927,2436
abr-1927,2438
mai-1927,2479
jun-1927,2510
jul-1927,2541
ago-1927,2542
set-1927,2530
out-1927,2501
nov-1927,2483
dez-1927,2418
jan-1928,2348
fev-1928,2364
mar-1928,2404
abr-1928,2413
mai-1928,2428
jun-1928,2423
jul-1928,2438
ago-1928,2510
set-1928,2549
out-1928,2573
nov-1928,2537
dez-1928,2564
jan-1929,2647
fev-1929,2695
mar-1929,2660
abr-1929,2680
mai-1929,2726
jun-1929,2780
jul-1929,2945
ago-1929,2973
set-1929,2915
out-1929,2853
nov-1929,2625
dez-1929,2610
jan-1930,2569
fev-1930,2653
mar-1930,2523
abr-1930,2583
mai-1930,2598
jun-1930,2569
jul-1930,2481
ago-1930,2414
set-1930,2374
out-1930,2351
nov-1930,2265
dez-1930,2160
jan-1931,2121
fev-1931,2162
mar-1931,2240
abr-1931,2429
mai-1931,2478
jun-1931,2500
jul-1931,2523
ago-1931,2194
set-1931,2146
out-1931,2364
nov-1931,2449
dez-1931,2365
jan-1932,2162
fev-1932,2156
mar-1932,2176
abr-1932,2264
mai-1932,2221
jun-1932,2171
jul-1932,2150
ago-1932,2147
set-1932,2184
out-1932,2116
nov-1932,2121
dez-1932,1880
jan-1933,2102
fev-1933,2188
mar-1933,2425
abr-1933,2190
mai-1933,2795
jun-1933,2813
jul-1933,2752
ago-1933,2758
set-1933,2611
out-1933,2454
nov-1933,2332
dez-1933,2328
jan-1934,2323
fev-1934,2335
mar-1934,2433
abr-1934,2522
mai-1934,2580
jun-1934,2655
jul-1934,2624
ago-1934,2552
set-1934,2525
out-1934,2471
nov-1934,2413
dez-1934,2413
jan-1935,2539
fev-1935,2599
mar-1935,2629
abr-1935,2614
mai-1935,2660
jun-1935,2745
jul-1935,2758
ago-1935,2736
set-1935,2804
out-1935,2844
nov-1935,2883
dez-1935,2862
jan-1936,2865
fev-1936,2832
mar-1936,2922
abr-1936,3016
mai-1936,3024
jun-1936,3006
jul-1936,2970
ago-1936,3067
set-1936,3032
out-1936,3090
nov-1936,3034
dez-1936,3150
jan-1937,3180
fev-1937,3328
mar-1937,3443
abr-1937,3499
mai-1937,3578
jun-1937,3527
jul-1937,3572
ago-1937,3713
set-1937,3666
out-1937,3578
nov-1937,3474
dez-1937,3438
jan-1938,3420
fev-1938,3381
mar-1938,3436
abr-1938,3423
mai-1938,3183
jun-1938,3143
jul-1938,3319
ago-1938,3425
set-1938,3289
out-1938,3285
nov-1938,3286
dez-1938,3300
jan-1939,3306
fev-1939,3338
mar-1939,3444
abr-1939,3517
mai-1939,3566
jun-1939,3487
jul-1939,3579
ago-1939,2609
set-1939,3606
out-1939,3684
nov-1939,3730
dez-1939,3704
jan-1940,3782
fev-1940,3738
mar-1940,3921
abr-1940,3967
mai-1940,3995
jun-1940,3977
jul-1940,4113
ago-1940,4214
set-1940,4347
out-1940,4403
nov-1940,4455
dez-1940,4360
jan-1941,3569
fev-1941,3600
mar-1941,3639
abr-1941,3703
mai-1941,3773
jun-1941,3834
jul-1941,3815
ago-1941,3915
set-1941,3982
out-1941,4069
nov-1941,4112
dez-1941,4138
